year,dem,rep,age,dem percent gap,Color
1972,0.48,0.36,45-59,0.12,black
1976,0.42,0.28,45-59,0.13999999999999996,black
1980,0.47,0.3,45-59,0.16999999999999998,black
1982,0.47,0.3,45-59,0.16999999999999998,black
1984,0.39,0.34,45-59,0.04999999999999999,black
1986,0.4,0.34,45-59,0.06,black
1988,0.36,0.35,45-59,0.010000000000000009,black
1990,0.36,0.33,45-59,0.02999999999999997,black
1992,0.37,0.33,45-59,0.03999999999999998,black
1994,0.36,0.33,45-59,0.02999999999999997,black
1996,0.39,0.33,45-59,0.06,black
1998,0.39,0.3,45-59,0.09000000000000002,black
2000,0.38,0.33,45-59,0.04999999999999999,black
2002,0.37,0.38,45-59,-0.010000000000000009,black
2004,0.38,0.35,45-59,0.030000000000000027,black
2006,0.37,0.35,45-59,0.020000000000000018,black
2008,0.37,0.33,45-59,0.03999999999999998,black
2012,0.47,0.51,45-59,-0.040000000000000036,black
2016,0.45,0.51,45-59,-0.06,black
2020,0.5,0.49,45-59,0.010000000000000009,black
