year,dem,rep,age,dem percent gap,Color
1972,0.47,0.26,18-29,0.20999999999999996,darkcyan
1976,0.4,0.2,18-29,0.2,darkcyan
1980,0.44,0.27,18-29,0.16999999999999998,darkcyan
1982,0.43,0.29,18-29,0.14,darkcyan
1984,0.37,0.37,18-29,0.0,darkcyan
1986,0.38,0.38,18-29,0.0,darkcyan
1988,0.38,0.38,18-29,0.0,darkcyan
1990,0.33,0.38,18-29,-0.04999999999999999,darkcyan
1992,0.36,0.37,18-29,-0.010000000000000009,darkcyan
1994,0.34,0.37,18-29,-0.02999999999999997,darkcyan
1996,0.42,0.31,18-29,0.10999999999999999,darkcyan
1998,0.36,0.35,18-29,0.010000000000000009,darkcyan
2000,0.36,0.35,18-29,0.010000000000000009,darkcyan
2002,0.37,0.39,18-29,-0.020000000000000018,darkcyan
2004,0.37,0.35,18-29,0.020000000000000018,darkcyan
2006,0.43,0.31,18-29,0.12,darkcyan
2008,0.45,0.26,18-29,0.19,darkcyan
2012,0.6,0.37,18-29,0.22999999999999998,darkcyan
2016,0.58,0.28,18-29,0.29999999999999993,darkcyan
2020,0.62,0.35,18-29,0.27,darkcyan
